ID_Comanda,estat,impostos,preu_final,data_realitzacio,ID_Client,ID_Venedor,ID_Localitzacio
,nec,21,316.32,2013-04-19,507,2026,507
,sapien,44,583.71,2012-09-26,508,2054,508
,enim lorem ipsum,9,362.4,2016-02-19,509,2024,509
,posuere,26,424.17,2018-04-25,510,2093,510
,eget,7,874.08,2011-03-22,511,2068,511
,justo maecenas rhoncus,29,498.98,2020-02-26,512,2036,512
,cum,3,31.1,2012-05-26,513,2083,513
,duis,45,873.58,2019-07-24,514,2064,514
,id,43,9.29,2020-03-09,515,2034,515
,integer pede justo,46,71.92,2018-03-18,516,2082,516
,at velit,3,400.15,2011-02-05,517,2041,517
,ut massa quis,28,406.89,2013-06-04,518,2085,518
,diam neque vestibulum,5,865.21,2012-12-12,519,2005,519
,diam erat fermentum,2,887.6,2011-09-23,520,2041,520
,pede,37,754.15,2015-10-17,521,2079,521
,vel ipsum praesent,24,909.57,2010-04-15,522,2084,522
,duis,26,313.12,2015-06-30,523,2010,523
,duis mattis,5,257.44,2012-08-11,524,2080,524
,turpis eget,41,527.96,2020-08-23,525,2087,525
,neque,29,940.86,2020-03-01,526,2021,526
,orci luctus,42,879.1,2019-06-26,527,2095,527
,orci,43,506.58,2011-09-14,528,2033,528
,sapien,11,878.65,2018-02-23,529,2034,529
,faucibus orci,45,172.88,2020-11-16,530,2002,530
,massa quis,9,755.55,2010-04-13,531,2069,531
,donec semper,38,559.5,2013-02-02,532,2006,532
,eros suspendisse,33,844.45,2014-07-20,533,2001,533
,tellus,13,440.16,2017-12-12,534,2029,534
,consectetuer adipiscing,31,120.55,2016-01-29,535,2014,535
,turpis nec euismod,17,134.85,2015-04-06,536,2088,536
,eu magna,15,224.54,2017-10-30,537,2023,537
,nec molestie,47,613.51,2014-08-08,538,2054,538
,nulla nunc,32,42.83,2016-09-14,539,2041,539
,dolor,12,946.12,2018-04-29,540,2056,540
,ante,40,871.44,2018-10-08,541,2064,541
,cubilia curae duis,34,503.37,2014-02-01,542,2037,542
,vitae nisi,14,742.02,2011-09-07,543,2043,543
,quam turpis adipiscing,33,543.42,2010-11-26,544,2046,544
,curae duis faucibus,42,420.75,2010-12-16,545,2049,545
,consequat,39,91.01,2019-10-28,546,2070,546
,ipsum,42,621.71,2015-08-08,547,2004,547
,tincidunt,15,861.45,2011-03-30,548,2024,548
,duis,26,409.07,2010-10-12,549,2080,549
,vivamus,48,479.98,2012-09-11,550,2071,550
,sed,15,209.37,2013-01-17,551,2080,551
,erat,5,422.63,2012-12-27,552,2069,552
,molestie,32,918.55,2017-10-20,553,2063,553
,diam,49,932.03,2015-08-09,554,2036,554
,vel pede,41,530.48,2012-04-23,555,2010,555
,sem,34,220.0,2012-06-24,556,2052,556
,id mauris,50,492.69,2017-03-30,557,2004,557
,nisl,5,304.68,2010-08-04,558,2099,558
,lobortis sapien,3,874.66,2012-04-11,559,2015,559
,massa id lobortis,35,445.88,2015-08-15,560,2020,560
,id turpis integer,13,21.71,2016-07-18,561,2049,561
,tellus semper,31,966.29,2011-07-01,562,2040,562
,odio curabitur,31,532.94,2018-04-01,563,2014,563
,neque sapien,27,646.41,2016-08-23,564,2075,564
2039,et ultrices posuere,6,549.83,2014-09-29,565,2084,565
,ridiculus mus,49,390.04,2010-04-21,566,2014,566
,tortor duis,49,345.52,2017-07-27,567,2098,567
,a,49,170.4,2017-10-22,568,2011,568
,volutpat,4,234.47,2020-07-18,569,2068,569
,justo lacinia,20,34.38,2019-08-20,570,2012,570
,nulla mollis molestie,36,734.2,2020-01-12,571,2040,571
,non mauris,5,86.04,2013-08-29,572,2032,572
,congue eget,47,325.74,2011-03-22,573,2061,573
,praesent,21,551.44,2015-07-31,574,2053,574
,amet,13,532.45,2014-10-02,575,2011,575
,leo pellentesque,41,576.67,2018-02-17,576,2009,576
,mauris,26,262.52,2020-11-05,577,2080,577
,libero nullam,22,446.27,2016-11-15,578,2038,578
,vestibulum,12,900.46,2010-09-09,579,2002,579
,eu magna vulputate,44,913.46,2019-08-08,580,2070,580
,posuere,14,850.68,2021-01-27,581,2083,581
,pede posuere nonummy,22,223.81,2016-05-17,582,2064,582
,nascetur ridiculus,38,452.54,2011-02-23,583,2067,583
,ac,39,478.37,2013-11-24,584,2069,584
,arcu,3,450.74,2014-04-17,585,2044,585
,justo,44,410.56,2019-04-20,586,2018,586
,vestibulum,41,517.97,2011-12-10,587,2035,587
,enim blandit,13,560.01,2017-06-20,588,2053,588
,convallis tortor,24,345.69,2014-04-27,589,2079,589
,vitae,38,866.97,2011-05-26,590,2046,590
,sit amet,22,978.16,2017-01-27,591,2070,591
,nec sem,25,495.01,2018-01-15,592,2078,592
,semper,25,287.27,2016-01-24,593,2045,593
,vestibulum,8,437.39,2018-06-18,594,2093,594
,gravida nisi,31,20.15,2018-02-04,595,2075,595
,magnis dis,3,923.91,2011-07-03,596,2039,596
,quam,26,82.01,2013-09-13,597,2075,597
,cubilia,28,979.24,2012-02-28,598,2077,598
,consequat metus sapien,31,459.67,2020-05-01,599,2092,599
,ultrices phasellus id,12,385.19,2019-07-20,600,2026,600
,lacus,8,986.95,2015-09-13,601,2077,601
,luctus cum sociis,48,182.39,2013-02-12,602,2048,602
,non,25,192.59,2012-12-04,603,2013,603
,sapien cursus vestibulum,10,672.19,2010-05-04,604,2057,604
,tincidunt,50,276.34,2016-06-13,605,2011,605
,sociis,13,29.62,2020-04-30,606,2083,606
,libero non mattis,29,517.17,2019-06-14,607,2072,607
,cum sociis,20,206.98,2015-11-10,608,2075,608
,ut massa,34,952.41,2015-04-18,609,2041,609
,curae donec pharetra,19,781.85,2016-12-05,610,2096,610
,at,2,94.61,2012-09-25,611,2016,611
,ultrices,7,160.26,2016-03-17,612,2092,612
,mauris vulputate,38,667.15,2014-11-03,613,2020,613
,non quam nec,26,16.53,2013-06-15,614,2072,614
,sociis natoque penatibus,17,862.66,2015-01-01,615,2042,615
,aliquam non,37,273.99,2016-01-03,616,2077,616
,donec,26,712.73,2013-08-17,617,2090,617
,augue,19,613.73,2010-08-19,618,2008,618
,ipsum,24,993.87,2014-04-08,619,2059,619
,faucibus,32,502.55,2020-10-12,620,2010,620
,aliquam,47,545.39,2015-08-12,621,2085,621
,mauris,17,201.19,2012-06-29,622,2095,622
,augue vestibulum rutrum,47,382.98,2010-07-22,623,2094,623
,mi nulla ac,34,798.89,2018-09-14,624,2038,624
,in,33,929.57,2010-06-07,625,2098,625
,praesent blandit,31,983.49,2014-06-02,626,2051,626
,sapien cum sociis,15,374.3,2019-11-08,627,2061,627
,eget,32,825.14,2013-10-26,628,2069,628
,dolor,3,339.98,2016-10-09,629,2030,629
,lacinia nisi,10,748.56,2013-08-11,630,2004,630
,ut dolor,7,374.06,2015-12-02,631,2057,631
,penatibus,26,734.15,2012-05-17,632,2074,632
,a pede,47,959.95,2017-09-26,633,2068,633
,sed,25,762.05,2010-12-08,634,2080,634
,vel,38,782.63,2019-12-28,635,2049,635
,at,35,976.3,2014-10-28,636,2014,636
,at nunc commodo,38,763.02,2010-08-02,637,2066,637
,in quam,29,218.51,2016-07-03,638,2034,638
,ipsum dolor sit,14,741.91,2015-05-25,639,2089,639
,in,39,958.65,2020-04-28,640,2075,640
,in lacus,44,817.18,2011-10-18,641,2059,641
,condimentum id luctus,31,581.65,2011-01-20,642,2034,642
,sapien dignissim,42,917.93,2013-11-18,643,2051,643
,sagittis,23,916.52,2012-02-23,644,2010,644
,eu mi nulla,16,810.61,2012-04-20,645,2088,645
2036,aliquam,23,442.28,2015-10-28,646,2023,646
,lacus curabitur,23,521.17,2010-04-05,647,2060,647
,pretium,35,476.56,2018-03-11,648,2086,648
,morbi,11,262.39,2020-08-31,649,2040,649
,turpis,33,174.47,2012-02-17,650,2059,650
,sit amet,3,763.55,2011-09-23,651,2042,651
,sed,30,133.75,2011-05-23,652,2077,652
,congue vivamus,30,977.52,2020-09-04,653,2003,653
,sit amet lobortis,8,127.63,2020-03-09,654,2046,654
,tempus sit amet,31,351.89,2013-03-21,655,2045,655
,suspendisse,2,66.24,2011-03-12,656,2033,656
,amet diam,19,443.72,2016-05-03,657,2033,657
,id pretium,1,824.38,2017-05-25,658,2014,658
,non pretium quis,42,705.59,2017-11-13,659,2070,659
,aliquet pulvinar,32,23.85,2020-08-29,660,2005,660
,curae mauris,12,906.09,2019-10-22,661,2023,661
,felis,8,603.63,2018-08-18,662,2045,662
,dis parturient montes,46,795.84,2014-05-21,663,2032,663
2067,urna pretium,33,854.18,2014-12-01,664,2060,664
,convallis morbi odio,42,342.53,2018-11-22,665,2062,665
,orci vehicula,40,301.15,2020-10-04,666,2057,666
,amet sem fusce,12,447.11,2013-08-04,667,2007,667
,rutrum ac lobortis,34,214.6,2019-08-31,668,2070,668
,elit proin,23,622.52,2012-03-11,669,2066,669
,duis aliquam,50,171.54,2013-06-05,670,2024,670
,magna,30,243.16,2020-10-10,671,2094,671
,justo,40,999.23,2016-04-21,672,2006,672
,enim in tempor,45,324.53,2013-03-17,673,2074,673
,natoque penatibus,19,416.84,2018-12-23,674,2011,674
,sapien,40,929.31,2018-01-06,675,2084,675
,nonummy integer,37,243.51,2014-06-29,676,2095,676
,et,16,760.72,2012-09-07,677,2060,677
,ac,28,477.37,2012-11-05,678,2025,678
,id mauris vulputate,35,320.55,2012-11-02,679,2008,679
,sapien ut,19,708.04,2012-01-03,680,2056,680
,ultrices posuere,25,888.04,2017-07-31,681,2088,681
,tortor sollicitudin,19,279.33,2018-09-04,682,2044,682
,semper,31,912.18,2011-12-12,683,2069,683
,justo morbi ut,49,472.83,2015-08-16,684,2071,684
,tincidunt ante,18,571.85,2015-10-07,685,2038,685
2082,arcu adipiscing,7,925.99,2010-11-21,686,2017,686
,duis at velit,23,893.32,2015-08-24,687,2055,687
,maecenas tincidunt,11,203.16,2019-04-07,688,2098,688
,lacus at,49,825.88,2017-12-29,689,2052,689
,eu,2,672.77,2019-12-28,690,2048,690
,erat,44,380.44,2019-04-02,691,2091,691
,lectus vestibulum,35,440.42,2015-08-13,692,2020,692
,ut,22,83.28,2015-10-15,693,2078,693
,pellentesque,37,872.27,2012-02-09,694,2074,694
,semper interdum,30,229.69,2011-09-23,695,2040,695
,proin,24,939.54,2015-11-06,696,2070,696
,lacus morbi,17,960.93,2014-01-19,697,2002,697
,hac habitasse platea,41,780.02,2020-03-15,698,2001,698
,ridiculus,31,762.88,2015-03-29,699,2055,699
,dolor,17,634.85,2012-12-17,700,2018,700
,nulla,49,180.61,2014-12-21,701,2054,701
,mauris non ligula,9,405.86,2013-10-28,702,2075,702
,velit eu,36,232.52,2012-07-08,703,2069,703
,gravida sem praesent,36,414.27,2011-05-24,704,2097,704
,turpis a pede,47,136.57,2016-02-02,705,2084,705
,neque libero,21,719.7,2010-11-04,706,2048,706
,neque libero convallis,35,749.41,2012-06-27,707,2015,707
,aliquam,49,280.0,2020-10-06,708,2039,708
,mauris viverra,26,613.74,2020-01-30,709,2060,709
,at velit eu,23,60.62,2011-09-27,710,2076,710
,pellentesque,1,69.28,2011-12-12,711,2066,711
,dictumst,32,322.9,2017-12-14,712,2023,712
,tellus,8,180.01,2017-11-03,713,2069,713
,leo rhoncus sed,24,11.81,2011-11-03,714,2067,714
,rhoncus,35,422.04,2019-04-24,715,2070,715
,tempor,13,257.98,2014-04-11,716,2023,716
,nulla dapibus,29,90.11,2014-02-07,717,2099,717
,luctus et ultrices,40,587.67,2017-11-23,718,2020,718
,lacus morbi quis,31,81.29,2016-05-20,719,2069,719
,nullam orci pede,4,47.38,2016-08-25,720,2031,720
,vel accumsan tellus,6,801.0,2019-05-14,721,2021,721
,cubilia curae,43,962.57,2018-10-19,722,2086,722
,dapibus,31,357.81,2011-06-29,723,2027,723
,neque,32,655.77,2020-10-19,724,2068,724
,platea dictumst,34,74.03,2015-06-01,725,2092,725
,eget tempus vel,9,807.32,2011-01-17,726,2046,726
,sapien non,21,627.96,2016-11-08,727,2008,727
,nec molestie,35,447.08,2012-02-27,728,2012,728
,morbi vel,37,702.95,2014-08-30,729,2001,729
,sem fusce,19,904.76,2020-07-28,730,2081,730
,ultrices vel,10,619.55,2019-10-17,731,2013,731
,phasellus in,34,907.89,2017-07-31,732,2087,732
,consequat,28,538.37,2013-05-29,733,2068,733
,vitae mattis,5,22.95,2017-07-01,734,2035,734
,mattis nibh ligula,22,585.92,2016-09-05,735,2057,735
,massa id nisl,45,672.08,2012-12-28,736,2021,736
,dis,11,686.48,2013-11-02,737,2064,737
,curabitur,12,45.87,2020-11-11,738,2054,738
,ullamcorper augue,6,283.49,2017-03-02,739,2007,739
2032,in faucibus,39,54.72,2013-04-26,740,2084,740
,sodales,9,838.72,2014-04-17,741,2001,741
,dui,6,401.8,2016-12-12,742,2013,742
,ultricies,24,210.34,2020-11-08,743,2027,743
,amet justo,19,423.85,2012-10-07,744,2068,744
,platea,47,632.1,2019-01-25,745,2011,745
,pulvinar nulla pede,3,249.37,2018-01-05,746,2028,746
,tincidunt nulla,47,862.74,2020-07-10,747,2067,747
,ac nibh,41,891.38,2020-07-05,748,2020,748
,in purus,28,927.99,2019-05-07,749,2025,749
,mollis molestie lorem,14,856.46,2011-06-01,750,2071,750
,felis sed,45,396.94,2019-03-13,751,2032,751
,sollicitudin vitae,8,908.78,2018-12-26,752,2046,752
2007,ac,38,487.19,2017-08-28,753,2084,753
,nisi vulputate,33,204.12,2010-05-10,754,2019,754
,lacinia,4,877.16,2010-06-19,755,2046,755
,non,45,968.94,2015-12-07,756,2065,756
,pulvinar nulla,23,291.58,2011-09-09,757,2066,757
,mus vivamus,47,145.76,2011-11-18,758,2098,758
,eleifend quam,46,22.58,2012-07-10,759,2045,759
,leo rhoncus,26,375.81,2013-10-04,760,2028,760
,blandit lacinia erat,18,192.54,2013-07-14,761,2022,761
,natoque penatibus et,4,726.69,2010-06-27,762,2043,762
,accumsan tellus,31,868.67,2011-08-18,763,2045,763
,volutpat erat,23,92.08,2016-01-04,764,2090,764
,sed,46,825.85,2018-02-25,765,2003,765
,vestibulum,47,810.68,2019-05-02,766,2056,766
,non,35,446.41,2016-09-12,767,2073,767
,consequat ut,14,396.91,2012-08-09,768,2085,768
,platea,13,533.59,2014-12-16,769,2056,769
,habitasse platea,40,888.35,2015-02-26,770,2055,770
,commodo placerat praesent,43,109.18,2020-07-05,771,2053,771
,mauris,11,747.58,2015-11-25,772,2040,772
,curabitur at ipsum,38,377.65,2014-02-11,773,2018,773
,felis sed,47,644.67,2016-05-09,774,2092,774
,libero,41,451.5,2013-05-25,775,2005,775
,leo,1,414.05,2012-01-21,776,2042,776
,nisi eu orci,17,875.3,2021-01-23,777,2024,777
,felis,21,926.74,2010-12-14,778,2010,778
,convallis duis,5,468.21,2011-08-08,779,2007,779
,vivamus in,33,338.76,2020-11-15,780,2055,780
,vel lectus,37,73.52,2012-06-15,781,2097,781
,cum sociis,36,826.89,2016-11-09,782,2012,782
,luctus,6,323.86,2012-11-29,783,2088,783
,augue vel accumsan,45,865.83,2020-09-14,784,2016,784
,quis lectus,30,414.54,2017-08-14,785,2054,785
,faucibus,4,381.3,2011-05-09,786,2010,786
,eget massa tempor,1,313.16,2010-04-17,787,2065,787
,sed,31,121.92,2014-01-24,788,2085,788
,duis faucibus,31,807.86,2018-09-27,789,2011,789
,tempus vivamus in,48,75.63,2018-12-03,790,2010,790
,sem mauris laoreet,20,662.17,2016-05-04,791,2047,791
,elementum eu interdum,45,138.09,2010-07-25,792,2008,792
,congue risus,9,462.11,2012-12-13,793,2076,793
,habitasse platea dictumst,1,105.81,2012-08-25,794,2047,794
,ut rhoncus,37,277.15,2013-05-27,795,2066,795
,nisl,17,200.23,2013-09-01,796,2080,796
,aenean sit amet,18,122.32,2017-05-12,797,2092,797
,ante,48,484.89,2018-05-07,798,2094,798
,odio condimentum id,49,903.94,2013-01-07,799,2060,799
,pellentesque quisque porta,49,267.83,2013-02-05,800,2065,800
,vitae,10,222.44,2011-03-16,801,2051,801
,ante,43,704.8,2013-09-15,802,2005,802
,vestibulum ante ipsum,38,892.97,2017-11-28,803,2011,803
,lectus,15,194.72,2019-11-04,804,2094,804
,leo,8,43.8,2013-03-23,805,2061,805
,id nulla ultrices,22,866.77,2020-11-06,806,2067,806
,vulputate,22,619.32,2015-02-13,807,2085,807
,luctus,9,600.95,2019-09-09,808,2080,808
,turpis a,26,89.1,2018-03-21,809,2067,809
,tortor eu,9,851.0,2013-07-31,810,2005,810
,quis,4,111.75,2010-03-23,811,2064,811
,eget,1,363.91,2013-09-14,812,2071,812
,eget orci vehicula,16,73.64,2014-10-24,813,2017,813
,maecenas leo,42,988.28,2013-07-21,814,2080,814
,venenatis lacinia,48,5.5,2013-08-31,815,2007,815
,porta volutpat,20,837.79,2015-08-15,816,2058,816
,consequat,36,996.8,2019-12-17,817,2039,817
,nec molestie,2,320.58,2015-07-24,818,2024,818
,tincidunt,33,703.46,2019-04-16,819,2040,819
,rutrum rutrum,11,169.67,2020-06-08,820,2008,820
,vel augue vestibulum,20,410.98,2010-05-08,821,2084,821
,primis in faucibus,39,554.56,2019-01-16,822,2035,822
,nam tristique,44,105.51,2014-03-16,823,2090,823
,suspendisse,11,781.65,2010-03-17,824,2052,824
,felis sed,7,558.03,2016-08-09,825,2047,825
,lorem vitae mattis,16,860.53,2014-07-31,826,2026,826
,nibh,46,695.0,2018-10-16,827,2047,827
,vestibulum,45,829.4,2017-08-02,828,2089,828
,amet erat nulla,50,332.64,2018-12-10,829,2004,829
,in lacus curabitur,21,537.0,2010-06-26,830,2058,830
,eget tempus vel,29,744.89,2020-11-13,831,2079,831
,aliquam quis,20,37.84,2017-07-10,832,2015,832
,non mauris morbi,31,384.48,2013-01-17,833,2001,833
,urna ut,50,439.81,2011-08-15,834,2073,834
,quisque porta volutpat,18,384.21,2014-01-24,835,2038,835
,mi sit,16,392.08,2021-01-31,836,2098,836
,id,15,957.84,2016-04-11,837,2058,837
,justo pellentesque viverra,31,82.32,2011-10-05,838,2093,838
,eleifend donec ut,17,33.26,2018-07-30,839,2043,839
,sit,50,612.72,2015-06-10,840,2027,840
,sapien,13,938.41,2019-06-24,841,2090,841
,leo,42,747.63,2016-08-26,842,2074,842
,lacinia,36,841.26,2014-02-23,843,2073,843
,elit sodales,2,306.79,2013-10-03,844,2039,844
,non,19,359.85,2011-02-26,845,2029,845
,a libero nam,9,585.22,2010-04-19,846,2052,846
,lacinia erat,37,313.43,2019-11-01,847,2015,847
,ornare consequat lectus,11,921.84,2011-07-06,848,2048,848
,at feugiat,2,206.58,2013-06-20,849,2077,849
,dolor sit amet,23,763.02,2018-05-24,850,2058,850
,blandit,29,98.0,2016-04-03,851,2066,851
,cubilia curae mauris,22,180.92,2015-09-15,852,2032,852
,tortor quis,21,66.58,2013-07-21,853,2020,853
,viverra eget congue,9,520.39,2015-09-16,854,2003,854
,habitasse platea,18,790.52,2015-09-01,855,2074,855
,sed vestibulum,37,60.12,2010-08-14,856,2021,856
,et magnis dis,45,964.8,2012-08-05,857,2011,857
,dolor morbi vel,44,160.36,2015-07-09,858,2024,858
,et tempus semper,10,655.54,2010-08-06,859,2035,859
,mi integer,17,125.18,2018-03-17,860,2063,860
,enim,7,862.96,2011-05-17,861,2030,861
,faucibus,43,480.88,2017-05-03,862,2065,862
,vitae,13,369.46,2018-05-03,863,2063,863
,rhoncus dui,1,293.74,2013-09-27,864,2049,864
,enim blandit mi,31,791.53,2013-07-09,865,2012,865
,primis,5,586.58,2012-02-14,866,2036,866
,sed,2,791.91,2014-03-01,867,2087,867
,vestibulum,2,91.09,2013-02-08,868,2022,868
,a libero nam,4,579.42,2019-02-09,869,2027,869
,augue,46,194.11,2012-01-12,870,2066,870
,sem praesent id,31,94.6,2011-02-16,871,2094,871
,semper sapien a,33,166.17,2014-03-11,872,2061,872
,eu orci,17,591.58,2018-05-05,873,2019,873
,at dolor,37,75.95,2019-05-25,874,2023,874
,laoreet ut rhoncus,18,463.77,2019-10-11,875,2002,875
,ridiculus mus,6,784.31,2018-04-04,876,2091,876
,sapien arcu,36,290.52,2017-09-05,877,2026,877
,cursus id turpis,39,627.01,2017-09-28,878,2043,878
,placerat,8,594.24,2012-07-11,879,2027,879
,sit,44,942.55,2019-09-01,880,2010,880
,tristique est et,35,174.72,2017-10-08,881,2023,881
,primis in,47,585.59,2018-07-04,882,2037,882
,facilisi,1,345.53,2019-10-22,883,2088,883
,lacus at turpis,11,22.74,2010-11-23,884,2033,884
,cubilia curae,14,671.56,2017-11-13,885,2069,885
,erat curabitur,22,489.66,2017-09-02,886,2071,886
,lobortis,5,16.34,2013-01-14,887,2002,887
,justo sit amet,20,854.82,2019-04-29,888,2066,888
,donec,8,129.74,2013-01-15,889,2005,889
,condimentum curabitur,1,650.28,2015-09-16,890,2024,890
,nisl duis,49,114.76,2014-05-25,891,2080,891
,sapien non,4,616.54,2014-04-20,892,2073,892
,nulla facilisi,37,355.82,2017-03-03,893,2055,893
,habitasse platea,3,186.55,2018-06-26,894,2061,894
,ullamcorper augue,3,252.13,2016-07-16,895,2003,895
,porta,28,333.78,2015-11-05,896,2019,896
,non mi,2,119.68,2019-08-27,897,2082,897
,pulvinar,16,277.13,2013-04-28,898,2073,898
,consequat varius,35,558.64,2012-10-07,899,2089,899
,vel augue,3,178.24,2011-09-26,900,2078,900
,mauris viverra diam,29,734.11,2012-09-04,901,2033,901
,accumsan felis,44,891.1,2014-08-07,902,2085,902
,libero nam,14,277.77,2016-09-11,903,2047,903
,pede libero quis,44,544.35,2011-12-24,904,2084,904
,sapien quis libero,39,270.24,2010-08-11,905,2024,905
,nisl,31,560.03,2010-12-20,906,2008,906
,nibh,41,441.85,2018-11-09,907,2039,907
,eu felis fusce,33,650.66,2014-09-15,908,2042,908
,pede,17,905.43,2016-05-08,909,2053,909
,ut odio,38,915.44,2014-04-25,910,2093,910
,diam id ornare,48,340.93,2016-10-03,911,2072,911
,vivamus metus arcu,26,494.55,2014-01-07,912,2065,912
,volutpat,39,91.91,2020-03-15,913,2050,913
,curae,40,816.09,2012-06-16,914,2040,914
,molestie hendrerit,1,148.84,2019-08-27,915,2028,915
,nulla mollis,26,865.23,2014-04-28,916,2003,916
,volutpat,14,606.18,2019-04-26,917,2056,917
,hac,19,74.53,2020-03-30,918,2095,918
,maecenas,18,394.75,2021-02-06,919,2069,919
,hac habitasse platea,7,337.74,2015-11-26,920,2072,920
,facilisi cras non,30,827.78,2012-04-07,921,2016,921
,est,7,210.22,2012-07-23,922,2007,922
,maecenas pulvinar,39,983.34,2015-11-29,923,2086,923
,odio porttitor id,13,401.54,2011-12-29,924,2076,924
,risus,21,2.57,2014-05-17,925,2050,925
,id turpis,29,118.49,2014-09-13,926,2093,926
,leo rhoncus sed,39,556.05,2010-07-04,927,2090,927
,dictumst morbi,7,845.83,2019-08-02,928,2035,928
,ut massa volutpat,22,576.25,2013-11-02,929,2028,929
,eros viverra,28,685.68,2013-12-24,930,2044,930
,curae mauris,21,978.1,2013-03-11,931,2013,931
,elementum eu,8,660.6,2016-05-23,932,2070,932
,id,25,814.68,2019-10-29,933,2048,933
,vivamus vel,24,363.64,2017-02-04,934,2081,934
,odio,15,160.79,2012-10-01,935,2086,935
,nisl nunc,7,451.55,2015-12-20,936,2071,936
,vestibulum,9,515.74,2016-08-20,937,2087,937
,odio donec vitae,22,9.68,2015-06-15,938,2082,938
,orci,25,768.36,2018-12-21,939,2051,939
,volutpat erat,31,670.24,2015-02-01,940,2077,940
,nulla,44,438.82,2013-10-11,941,2060,941
,neque libero,48,438.08,2017-12-09,942,2076,942
,vestibulum ante ipsum,7,753.35,2013-05-18,943,2094,943
,dui nec nisi,11,925.55,2019-06-07,944,2013,944
,rhoncus,33,409.73,2019-06-23,945,2079,945
,metus sapien ut,48,691.46,2020-05-22,946,2004,946
,nibh,25,780.06,2019-07-17,947,2085,947
,nulla ac enim,14,813.3,2013-11-18,948,2079,948
,enim,41,245.22,2019-09-07,949,2086,949
,amet sem fusce,31,310.81,2021-02-25,950,2090,950
,ligula sit,7,694.51,2014-04-10,951,2065,951
,sapien,25,741.13,2018-06-21,952,2061,952
,eu mi nulla,9,920.13,2011-02-03,953,2010,953
,metus arcu adipiscing,17,963.48,2017-04-10,954,2033,954
,euismod scelerisque,29,324.18,2020-12-25,955,2022,955
,maecenas tristique est,42,510.87,2014-03-13,956,2063,956
,diam vitae quam,6,851.26,2018-01-23,957,2085,957
,mattis egestas,36,110.81,2021-01-28,958,2072,958
,consectetuer eget rutrum,35,597.02,2018-01-21,959,2013,959
,tincidunt in leo,20,307.22,2017-04-02,960,2050,960
,eget,18,956.18,2015-02-22,961,2028,961
,vel,38,19.62,2019-01-23,962,2017,962
,volutpat erat,3,432.15,2012-07-14,963,2047,963
,arcu adipiscing molestie,33,438.95,2020-01-03,964,2007,964
,etiam,16,527.97,2020-06-15,965,2017,965
,morbi vel,38,426.62,2014-03-30,966,2055,966
,ultrices aliquet maecenas,10,456.61,2018-02-25,967,2066,967
,aliquet,37,473.03,2011-04-25,968,2042,968
,integer ac neque,14,42.56,2017-08-23,969,2014,969
,morbi quis tortor,26,386.75,2019-04-05,970,2031,970
,eget,25,164.1,2019-08-10,971,2085,971
,tincidunt,24,660.44,2019-10-01,972,2054,972
,nibh in lectus,37,536.84,2011-12-18,973,2079,973
,sapien,9,621.81,2010-11-27,974,2010,974
,morbi ut odio,43,38.63,2010-06-30,975,2035,975
,nulla dapibus dolor,44,879.72,2014-02-21,976,2041,976
,aliquet ultrices,22,11.67,2010-11-28,977,2040,977
,scelerisque mauris,39,828.59,2011-12-10,978,2071,978
,ligula sit amet,42,91.59,2020-09-07,979,2090,979
,dolor morbi,6,9.77,2014-03-21,980,2098,980
,sapien dignissim vestibulum,41,887.5,2020-12-15,981,2074,981
,dapibus,39,753.87,2020-12-21,982,2088,982
,nibh in,1,39.07,2013-11-15,983,2026,983
,duis,4,571.34,2016-12-23,984,2048,984
,interdum,10,234.95,2017-08-18,985,2064,985
,odio in hac,15,662.79,2014-07-08,986,2053,986
,nisi,14,438.47,2011-04-15,987,2050,987
,nam,6,592.56,2015-12-12,988,2035,988
,a feugiat,10,916.41,2010-07-16,989,2042,989
,congue,11,907.42,2017-10-09,990,2033,990
,lectus,4,869.61,2019-09-07,991,2069,991
,non interdum,45,296.65,2015-02-13,992,2061,992
,eget,50,953.17,2011-06-02,993,2073,993
,elementum,13,836.81,2015-05-20,994,2009,994
,lobortis,16,428.51,2010-04-04,995,2010,995
,proin eu mi,31,471.04,2015-02-24,996,2039,996
,in,1,475.98,2017-12-04,997,2017,997
,adipiscing elit,40,198.53,2018-08-19,998,2045,998
,ornare,1,894.07,2017-02-18,999,2051,999
,nulla nunc purus,37,889.74,2020-01-01,1000,2091,1000
