ID_Empleat,titol_treball,dies_vacances,dies_malalties,ID_Sou,ID_Departament,ID_Horari
2655,Help Desk Technician,26,7,22,7,38
2656,Clinical Specialist,34,10,3,4,13
2657,Staff Scientist,21,1,7,2,7
2658,Environmental Specialist,17,13,48,2,31
2659,Account Coordinator,39,13,20,2,35
2660,Senior Financial Analyst,35,15,47,10,45
2661,Account Representative I,14,26,42,9,20
2662,Clinical Specialist,36,20,38,9,32
2663,Clinical Specialist,26,5,35,1,48
2664,Sales Associate,18,18,31,11,13
2665,Cost Accountant,40,25,8,3,2
2666,Operator,19,6,39,8,36
2667,Media Manager IV,27,28,2,5,25
2668,Junior Executive,26,20,7,6,49
2669,Senior Cost Accountant,25,24,47,9,39
2670,Analog Circuit Design manager,37,26,22,10,43
2671,Sales Associate,21,14,17,11,23
2672,Software Test Engineer I,22,10,44,7,31
2673,Health Coach II,17,15,8,7,47
2674,Engineer II,30,18,5,1,19
2675,Systems Administrator I,31,23,20,12,20
2676,Technical Writer,36,13,38,6,25
2677,Cost Accountant,38,7,3,11,36
2678,Marketing Assistant,27,24,7,9,32
2679,Software Engineer II,39,11,47,7,26
2680,Electrical Engineer,36,7,39,5,29
2681,General Manager,12,25,22,7,45
2682,Senior Financial Analyst,40,18,19,5,32
2683,Quality Engineer,27,1,3,2,49
2684,Account Representative I,25,15,47,9,36
2685,Professor,10,13,45,3,42
2686,Paralegal,12,9,11,11,7
2687,Biostatistician III,40,6,24,12,30
2688,Computer Systems Analyst I,38,11,48,12,9
2689,Data Coordiator,31,13,21,3,1
2690,Geologist I,15,12,14,10,43
2691,Graphic Designer,20,0,20,7,7
2692,Web Designer IV,20,0,16,5,28
2693,Senior Quality Engineer,38,26,36,6,44
2694,Safety Technician III,21,17,15,1,26
2695,Geological Engineer,32,13,37,6,15
2696,Budget/Accounting Analyst I,10,21,42,9,26
2697,Executive Secretary,33,29,38,1,36
2698,Financial Advisor,40,12,23,1,31
2699,Structural Engineer,18,17,35,5,18
2700,Food Chemist,37,13,46,10,9
2701,Marketing Manager,28,24,9,6,40
2702,Editor,11,10,27,8,5
2703,Civil Engineer,19,1,27,11,38
2704,Pharmacist,34,21,37,2,25
2705,Librarian,13,12,27,4,23
2706,Legal Assistant,24,30,19,2,44
2707,Internal Auditor,29,6,49,7,28
2708,Social Worker,24,20,2,9,49
2709,Speech Pathologist,40,17,40,6,4
2710,Cost Accountant,21,14,9,6,9
2711,Sales Associate,35,10,40,12,37
2712,Tax Accountant,29,26,20,11,17
2713,Geologist II,13,4,43,3,9
2714,Account Executive,11,19,39,4,13
2715,Financial Advisor,14,24,23,8,21
2716,Desktop Support Technician,30,1,40,7,3
2717,Clinical Specialist,18,23,1,1,49
2718,Research Associate,22,13,50,10,16
2719,Operator,39,1,2,3,15
2720,Technical Writer,18,15,22,4,5
2721,Project Manager,15,23,17,1,28
2722,Design Engineer,35,28,13,10,25
2723,Compensation Analyst,30,17,30,1,41
2724,Dental Hygienist,21,5,4,11,27
2725,Associate Professor,14,22,42,8,17
2726,Environmental Tech,31,27,26,1,6
2727,Speech Pathologist,30,21,37,7,14
2728,Project Manager,10,5,22,10,4
2729,Assistant Professor,40,24,49,5,44
2730,VP Marketing,22,2,10,3,28
2731,Cost Accountant,10,22,13,8,28
2732,Senior Developer,14,24,37,3,40
2733,Assistant Media Planner,35,27,31,2,12
2734,Professor,34,28,35,1,31
2735,Biostatistician III,31,28,6,4,44
2736,Accountant II,18,11,44,6,35
2737,Marketing Manager,20,2,3,2,41
2738,Pharmacist,38,2,43,6,4
2739,Programmer Analyst IV,37,19,29,4,9
2740,Occupational Therapist,19,28,21,7,1
2741,Graphic Designer,31,21,1,9,36
2742,Information Systems Manager,13,29,18,11,12
2743,Assistant Manager,31,24,4,11,8
2744,GIS Technical Architect,32,3,27,5,39
2745,Professor,28,19,17,10,42
2746,Accountant III,16,17,29,3,8
2747,Actuary,39,20,32,10,48
2748,Junior Executive,35,21,39,4,17
2749,Internal Auditor,15,28,49,6,14
2750,VP Quality Control,32,17,22,4,15
2751,Accounting Assistant I,21,17,9,1,17
2752,Help Desk Operator,30,28,13,4,29
2753,Analog Circuit Design manager,37,1,43,4,46
2754,Social Worker,11,25,30,8,32
2755,Engineer II,38,21,19,7,18
2756,Paralegal,27,23,47,11,25
2757,Professor,17,26,27,3,44
2758,Human Resources Assistant III,33,1,11,11,26
2759,Engineer IV,11,20,35,3,41
2760,Human Resources Assistant III,18,25,4,2,7
2761,Payment Adjustment Coordinator,12,8,47,2,43
2762,Senior Quality Engineer,25,28,15,4,11
2763,Junior Executive,29,4,29,5,47
2764,Assistant Professor,13,6,45,6,38
2765,Financial Analyst,26,4,30,12,50
2766,Chief Design Engineer,33,28,37,3,29
2767,Automation Specialist II,31,3,23,7,40
2768,Food Chemist,35,20,30,7,19
2769,Structural Engineer,30,11,48,2,23
2770,Payment Adjustment Coordinator,27,25,33,2,3
2771,Graphic Designer,25,4,41,8,49
2772,VP Product Management,19,4,38,1,12
2773,Biostatistician II,21,4,29,6,26
2774,Automation Specialist I,10,6,14,1,34
2775,VP Marketing,38,23,2,1,13
2776,Database Administrator I,19,12,47,6,31
2777,Media Manager I,16,28,6,6,6
2778,VP Marketing,23,28,28,4,33
2779,Information Systems Manager,19,23,45,11,18
2780,Professor,13,1,12,2,30
2781,Web Designer IV,21,28,44,9,28
2782,Internal Auditor,29,11,36,9,37
2783,Staff Accountant II,37,2,27,6,30
2784,Sales Associate,13,6,43,3,3
2785,Information Systems Manager,12,9,42,4,20
2786,VP Product Management,11,7,11,1,40
2787,Electrical Engineer,23,28,5,12,31
2788,Legal Assistant,11,11,29,4,38
2789,Information Systems Manager,18,5,19,6,18
2790,Health Coach I,31,14,1,5,15
2791,Recruiter,28,28,29,4,28
2792,Health Coach III,28,9,29,9,50
2793,Editor,23,15,4,11,1
2794,Administrative Officer,17,14,42,11,46
2795,Dental Hygienist,26,4,44,8,21
2796,Account Representative II,14,6,31,1,36
2797,Statistician II,24,23,5,8,32
2798,Chief Design Engineer,22,19,7,8,19
2799,Senior Financial Analyst,18,12,19,11,20
2800,Electrical Engineer,18,16,41,9,12
2801,Executive Secretary,35,8,23,7,40
2802,Office Assistant II,22,20,35,2,27
2803,Quality Engineer,11,19,5,10,48
2804,Director of Sales,19,26,25,2,28
2805,Actuary,28,5,45,1,49
2806,Human Resources Manager,34,17,26,1,35
2807,Web Developer III,13,22,20,4,19
2808,Software Engineer III,27,8,12,1,29
2809,Sales Associate,22,26,17,9,9
2810,VP Accounting,22,10,3,3,37
2811,Recruiting Manager,10,3,39,9,33
2812,Recruiting Manager,40,16,39,7,30
2813,General Manager,15,0,49,3,19
2814,Operator,23,25,50,6,37
2815,Occupational Therapist,38,27,36,1,20
2816,Junior Executive,30,3,40,11,39
2817,Financial Analyst,10,25,48,6,50
2818,Recruiter,37,30,48,2,15
2819,Electrical Engineer,13,23,29,12,26
2820,Health Coach I,30,17,48,2,38
2821,Research Assistant I,22,2,24,4,16
2822,Compensation Analyst,20,4,47,10,34
2823,VP Sales,29,10,17,1,47
2824,Project Manager,34,21,16,1,11
2825,Staff Accountant III,30,5,25,6,38
2826,Actuary,34,8,6,3,17
2827,Research Associate,27,28,26,1,39
2828,GIS Technical Architect,13,13,27,2,37
2829,Senior Developer,10,15,12,5,46
2830,Director of Sales,13,21,48,4,44
2831,Recruiting Manager,18,8,49,5,48
2832,Pharmacist,32,6,18,1,28
2833,Marketing Manager,19,26,14,2,25
2834,Sales Representative,17,30,30,4,3
2835,Staff Scientist,24,26,26,8,38
2836,Research Assistant IV,24,8,21,1,24
2837,Registered Nurse,11,10,12,2,26
2838,Project Manager,22,24,44,6,28
2839,Paralegal,40,10,39,9,25
2840,Media Manager IV,26,9,7,11,38
2841,Human Resources Manager,17,18,24,2,22
2842,Geological Engineer,18,9,9,3,26
2843,Recruiting Manager,10,6,40,5,1
2844,Associate Professor,19,3,27,7,30
2845,Compensation Analyst,33,17,25,10,18
2846,Office Assistant IV,22,29,11,8,48
2847,Pharmacist,28,28,42,5,38
2848,Office Assistant II,31,18,42,4,10
2849,VP Quality Control,17,26,14,1,46
2850,Statistician I,21,7,19,3,21
2851,Human Resources Assistant III,17,22,36,2,4
2852,Geologist II,31,6,34,8,13
2853,Product Engineer,40,27,35,4,42
2854,Product Engineer,17,7,8,12,27
2855,Developer IV,25,16,17,9,13
2856,Food Chemist,36,8,45,9,39
2857,Systems Administrator I,39,2,14,8,37
2858,Registered Nurse,37,2,3,4,22
2859,Librarian,16,20,25,6,50
2860,Junior Executive,12,7,43,10,45
2861,Help Desk Operator,26,10,25,2,36
2862,Pharmacist,20,3,7,9,8
2863,Chief Design Engineer,35,13,40,6,27
2864,Technical Writer,26,8,2,2,20
2865,Senior Quality Engineer,27,17,20,7,16
2866,Account Representative II,35,4,28,10,45
2867,Administrative Officer,18,13,38,2,15
2868,Senior Editor,33,24,11,1,19
2869,Research Nurse,40,0,20,7,12
2870,Nurse Practicioner,32,14,25,11,26
2871,Information Systems Manager,14,7,40,11,13
2872,Help Desk Operator,28,0,38,3,22
2873,Financial Advisor,28,4,33,1,19
2874,Physical Therapy Assistant,40,0,5,5,25
2875,Pharmacist,10,16,34,12,8
2876,Assistant Media Planner,36,28,49,12,35
2877,Electrical Engineer,13,11,48,8,14
2878,Compensation Analyst,21,2,26,11,14
2879,Financial Analyst,39,16,32,2,42
2880,Occupational Therapist,32,26,42,8,48
2881,Physical Therapy Assistant,11,1,15,11,37
2882,Help Desk Operator,39,16,4,9,21
2883,Teacher,23,20,31,10,16
2884,Human Resources Manager,36,28,31,12,26
2885,Developer III,21,19,40,12,2
2886,Statistician IV,11,5,35,1,1
2887,Project Manager,26,26,35,8,31
2888,Biostatistician I,37,2,15,1,22
2889,Teacher,19,24,7,5,50
2890,Mechanical Systems Engineer,10,17,2,12,10
2891,Environmental Tech,29,7,48,6,5
2892,Geological Engineer,30,30,5,6,48
2893,Automation Specialist IV,29,12,43,1,9
2894,Research Assistant II,13,8,29,3,42
2895,Desktop Support Technician,40,24,43,11,4
2896,Mechanical Systems Engineer,11,23,37,5,44
2897,Sales Associate,38,27,19,8,47
2898,Software Consultant,17,9,30,1,17
2899,Quality Control Specialist,29,21,28,6,13
2900,Director of Sales,29,0,19,5,48
2901,Account Coordinator,20,14,36,9,9
2902,Associate Professor,31,30,8,8,50
2903,Accountant IV,28,18,42,8,37
2904,VP Sales,24,26,12,12,23
2905,Help Desk Operator,38,29,2,10,9
2906,Software Consultant,36,26,46,3,12
2907,Software Engineer III,26,23,39,1,43
2908,Media Manager III,20,13,5,7,31
2909,Director of Sales,28,11,49,3,10
2910,Senior Quality Engineer,40,29,44,7,31
2911,Database Administrator II,40,21,8,1,41
2912,Technical Writer,16,14,1,7,20
2913,Media Manager III,12,26,27,11,2
2914,Tax Accountant,38,28,33,1,13
2915,Developer II,15,15,19,6,15
2916,Nurse Practicioner,14,22,7,2,30
2917,Recruiter,13,16,49,4,8
2918,Dental Hygienist,36,20,47,8,23
2919,Pharmacist,15,25,23,5,19
2920,Quality Engineer,26,4,36,4,2
2921,Senior Quality Engineer,15,16,12,4,21
2922,Analog Circuit Design manager,36,29,42,7,28
2923,Pharmacist,36,16,2,4,48
2924,Engineer II,39,23,22,11,29
2925,Web Designer IV,32,0,25,4,38
2926,Sales Representative,37,4,39,12,49
2927,Food Chemist,39,2,20,3,29
2928,Staff Scientist,16,17,46,7,35
2929,Software Test Engineer III,33,1,18,9,43
2930,Physical Therapy Assistant,13,15,16,6,32
2931,Financial Analyst,30,21,41,7,48
2932,Geological Engineer,31,4,8,6,35
2933,Database Administrator IV,39,27,13,1,13
2934,Business Systems Development Analyst,38,13,11,7,14
2935,Paralegal,21,2,3,8,4
2936,Sales Representative,16,6,35,10,25
2937,Actuary,15,25,4,8,31
2938,Staff Scientist,22,8,6,7,24
2939,Community Outreach Specialist,29,20,47,7,20
2940,Account Coordinator,19,8,4,5,13
2941,Engineer III,33,17,42,10,32
2942,Design Engineer,34,8,28,1,15
2943,General Manager,19,10,34,2,7
2944,Professor,39,0,3,9,8
2945,Clinical Specialist,19,16,6,7,4
2946,GIS Technical Architect,27,28,34,10,45
2947,Software Consultant,20,21,6,7,40
2948,Graphic Designer,26,18,16,2,19
2949,Senior Financial Analyst,19,12,19,10,37
2950,Developer III,36,4,9,8,27
2951,Administrative Assistant II,17,2,9,12,9
2952,Account Executive,17,7,50,8,17
2953,Financial Advisor,39,5,25,6,2
2954,Research Associate,40,8,31,4,29
2955,Web Developer I,13,10,44,9,25
2956,Environmental Tech,15,19,19,6,3
2957,Senior Developer,35,18,48,8,21
2958,Registered Nurse,16,5,26,12,13
2959,Environmental Tech,33,14,24,2,43
2960,Senior Quality Engineer,14,8,25,8,37
2961,Administrative Officer,19,25,14,8,25
2962,Help Desk Operator,23,11,28,5,45
2963,Operator,22,16,21,2,7
2964,Research Nurse,34,30,38,2,36
2965,Information Systems Manager,30,15,30,11,41
2966,Help Desk Operator,38,7,22,2,32
2967,Environmental Tech,27,3,49,7,36
2968,Associate Professor,12,21,33,9,22
2969,Payment Adjustment Coordinator,10,7,37,12,50
2970,Human Resources Manager,14,18,2,9,35
2971,Staff Accountant IV,21,1,40,10,4
2972,Senior Financial Analyst,13,27,49,2,15
2973,Sales Representative,33,18,12,5,19
2974,Senior Developer,21,12,3,12,16
2975,VP Product Management,19,17,28,9,8
2976,Actuary,39,9,45,6,16
2977,Product Engineer,37,2,45,3,42
2978,Financial Analyst,25,17,10,6,42
2979,Design Engineer,26,10,37,10,50
2980,Recruiting Manager,26,12,30,5,15
2981,Dental Hygienist,13,4,47,4,40
2982,Assistant Manager,24,4,33,2,32
2983,Legal Assistant,13,4,9,9,11
2984,Senior Financial Analyst,19,1,5,5,23
2985,Administrative Officer,21,27,39,9,11
2986,Web Designer IV,33,7,45,12,38
2987,Safety Technician I,33,30,39,2,23
2988,Legal Assistant,25,27,25,7,4
2989,VP Sales,38,23,34,2,30
2990,Librarian,21,3,2,2,1
2991,VP Accounting,40,4,3,3,41
2992,Administrative Officer,27,27,5,9,49
2993,Budget/Accounting Analyst I,18,21,5,5,4
2994,Financial Analyst,28,24,22,7,26
2995,Tax Accountant,37,29,40,2,26
2996,Senior Quality Engineer,30,18,7,2,21
2997,VP Accounting,32,27,28,5,27
2998,Human Resources Assistant II,39,25,34,12,43
2999,Senior Cost Accountant,26,0,48,6,36
3000,Administrative Officer,22,19,8,6,9
